Day,Weight
1,11
2,14
3,17
4,23
5,24
6,26
7,30
8,32
9,37
10,69
11,74
12,77
13,77
14,78
15,78
16,79
17,87
18,89
19,92
20,92
21,101
22,104
23,115
24,121
25,128
26,136
27,136
28,153
29,155
30,155
31,157
32,163
33,166
34,171
35,173
36,176
37,177
38,184
39,188
40,192
41,192
42,194
43,199
44,199
45,201
46,212
47,231
48,239
49,249
50,250
51,250
52,252
53,255
54,256
55,258
56,259
57,268
58,268
59,269
60,280
61,282
62,285
63,287
64,288
65,289
66,291
67,293
68,298
69,301
70,305
71,307
72,325
73,328
74,353
75,363
76,364
77,369
78,379
79,382
80,391
81,404
82,405
83,405
84,416
85,421
86,430
87,433
88,440
89,448
90,452
91,461
92,461
93,466
94,467
95,469
96,472
97,473
98,476
99,499
100,509
101,516
102,516
103,516
104,519
105,522
106,532
107,532
108,536
109,542
110,544
111,547
112,547
113,548
114,549
115,551
116,555
117,559
118,587
119,592
120,601
121,606
122,609
123,615
124,633
125,634
126,641
127,654
128,659
129,660
130,665
131,668
132,668
133,669
134,671
135,673
136,680
137,686
138,695
139,701
140,701
141,707
142,714
143,715
144,717
145,731
146,736
147,745
148,746
149,748
150,753
151,756
152,759
153,805
154,805
155,806
156,806
157,808
158,812
159,818
160,819
161,818
162,812
163,795
164,779
165,769
166,746
167,738
168,730
169,720
170,716
171,703
172,699
173,678
174,655
175,654
176,633
177,627
178,623
179,616
180,605
